"Ch 0 - Voltage_0_x","Ch 0 - Voltage_0_y"
0.346,0.751953125,
0.3465,0.8447265625,
0.347,0.810546875,
0.3475,0.673828125,
0.348,0.4248046875,
0.3485,0.17578125,
0.349,0.09765625,
0.3495,0.2294921875,
0.35,0.361328125,
0.3505,0.3369140625,
0.351,0.2490234375,
0.3515,0.2880859375,
0.352,0.439453125,
0.3525,0.6005859375,
0.353,0.7080078125,
0.3535,0.6884765625,
0.354,0.4638671875,
0.3545,0.1318359375,
0.355,-0.1171875,
0.3555,-0.2490234375,
0.356,-0.4150390625,
0.3565,-0.7177734375,
0.357,-1.03515625,
0.3575,-1.2109375,
0.358,-1.235351562,
0.3585,-1.147460938,
0.359,-0.947265625,
0.3595,-0.751953125,
0.36,-0.68359375,
0.3605,-0.654296875,
0.361,-0.5126953125,
0.3615,-0.2490234375,
0.362,-0.048828125,
0.3625,-0.0244140625,
0.363,-0.1171875,
0.3635,-0.2392578125,
0.364,-0.37109375,
0.3645,-0.419921875,
0.365,-0.33203125,
0.3655,-0.21484375,
0.366,-0.2001953125,
0.3665,-0.1904296875,
0.367,-0.0341796875,
0.3675,0.283203125,
0.368,0.60546875,
0.3685,0.8154296875,
0.369,0.9130859375,
0.3695,0.8837890625,
0.37,0.751953125,
0.3705,0.6494140625,
0.371,0.625,
0.3715,0.5126953125,
0.372,0.1953125,
0.3725,-0.2099609375,
0.373,-0.5029296875,
0.3735,-0.615234375,
0.374,-0.615234375,
0.3745,-0.5712890625,
0.375,-0.517578125,
0.3755,-0.52734375,
0.376,-0.5712890625,
0.3765,-0.498046875,
0.377,-0.2978515625,
0.3775,-0.17578125,
0.378,-0.2587890625,
0.3785,-0.4736328125,
0.379,-0.6494140625,
0.3795,-0.7373046875,
0.38,-0.76171875,
0.3805,-0.7421875,
0.381,-0.7373046875,
0.3815,-0.8154296875,
0.382,-0.87890625,
0.3825,-0.7373046875,
0.383,-0.3857421875,
0.3835,-0.009765625,
0.384,0.2490234375,
0.3845,0.419921875,
0.385,0.56640625,
0.3855,0.7080078125,
0.386,0.849609375,
0.3865,0.966796875,
0.387,0.9814453125,
0.3875,0.80078125,
0.388,0.52734375,
0.3885,0.3564453125,
0.389,0.3369140625,
0.3895,0.3466796875,
0.39,0.3125,
0.3905,0.2490234375,
0.391,0.205078125,
0.3915,0.2099609375,
0.392,0.3125,
0.3925,0.5029296875,
0.393,0.634765625,
0.3935,0.5517578125,
0.394,0.3125,
0.3945,0.0927734375,
0.395,-0.05859375,
0.3955,-0.205078125,
0.396,-0.3857421875,
0.3965,-0.5908203125,
0.397,-0.8154296875,
0.3975,-0.986328125,
0.398,-0.986328125,
0.3985,-0.78125,
0.399,-0.5224609375,
0.3995,-0.380859375,
0.4,-0.302734375,
0.4005,-0.1708984375,
0.401,0.0390625,
0.4015,0.2783203125,
0.402,0.46875,
0.4025,0.5419921875,
0.403,0.4541015625,
0.4035,0.2880859375,
0.404,0.2099609375,
0.4045,0.2978515625,
0.405,0.4052734375,
0.4055,0.4052734375,
0.406,0.361328125,
0.4065,0.380859375,
0.407,0.4931640625,
0.4075,0.703125,
0.408,0.9423828125,
0.4085,1.098632812,
0.409,1.088867188,
0.4095,0.9619140625,
0.41,0.8740234375,
0.4105,0.869140625,
0.411,0.8056640625,
0.4115,0.5810546875,
0.412,0.244140625,
0.4125,-0.1025390625,
0.413,-0.380859375,
0.4135,-0.5224609375,
0.414,-0.5224609375,
0.4145,-0.48828125,
0.415,-0.5224609375,
0.4155,-0.5908203125,
0.416,-0.5419921875,
0.4165,-0.3662109375,
0.417,-0.185546875,
0.4175,-0.1025390625,
0.418,-0.1318359375,
0.4185,-0.2490234375,
0.419,-0.390625,
0.4195,-0.4638671875,
0.42,-0.4296875,
0.4205,-0.3955078125,
0.421,-0.4541015625,
0.4215,-0.5517578125,
0.422,-0.52734375,
0.4225,-0.33203125,
0.423,-0.048828125,
0.4235,0.25390625,
0.424,0.48828125,
0.4245,0.615234375,
0.425,0.6591796875,
0.4255,0.7421875,
0.426,0.8837890625,
0.4265,0.966796875,
0.427,0.869140625,
0.4275,0.625,
0.428,0.3857421875,
0.4285,0.224609375,
0.429,0.13671875,
0.4295,0.09765625,
0.43,0.0390625,
0.4305,-0.09765625,
0.431,-0.25390625,
0.4315,-0.2783203125,
0.432,-0.146484375,
0.4325,0.0048828125,
0.433,0.01953125,
0.4335,-0.1025390625,
