x0004,y0004,x0005,y0005,x0018,y0018,x0019,y0019
64.453125,1.310965994,64.453125,1.006709903,64.453125,1.740605669,65.67382812,1.430525316,
64.69726562,1.304802324,64.69726562,1.006609413,64.69726562,1.735675852,65.91796875,1.420322481,
64.94140625,1.298330325,64.94140625,1.008692846,64.94140625,1.728708357,66.16210938,1.410173845,
65.18554688,1.293847748,65.18554688,0.9901128497,65.18554688,1.721689618,66.40625,1.40007326,
65.4296875,1.287394572,65.4296875,0.9774824004,65.4296875,1.705122359,66.65039062,1.390014705,
65.67382812,1.284391352,65.67382812,1.041513166,65.67382812,1.702480527,66.89453125,1.379992266,
65.91796875,1.276936977,65.91796875,1.013808309,65.91796875,1.698035608,67.13867188,1.370000116,
66.16210938,1.266840285,66.16210938,0.9978273078,66.16210938,1.682022393,67.3828125,1.360032506,
66.40625,1.263891814,66.40625,1.001062758,66.40625,1.673864136,67.62695312,1.35008374,
66.65039062,1.262177699,66.65039062,1.023479677,66.65039062,1.667387496,67.87109375,1.340148168,
66.89453125,1.253610529,66.89453125,1.001061316,66.89453125,1.657103683,68.11523438,1.330220165,
67.13867188,1.249007905,67.13867188,1.024047523,67.13867188,1.648479589,68.359375,1.320294117,
67.3828125,1.244937366,67.3828125,0.9993899087,67.3828125,1.648135431,68.60351562,1.31036441,
67.62695312,1.245020783,67.62695312,1.028339537,67.62695312,1.641014689,68.84765625,1.300425408,
67.87109375,1.239307318,67.87109375,0.9991895064,67.87109375,1.628241305,69.09179688,1.290471444,
68.11523438,1.233547396,68.11523438,1.037783792,68.11523438,1.627769363,69.3359375,1.280496803,
68.359375,1.229131086,68.359375,0.9995666231,68.359375,1.615594129,69.58007812,1.270495704,
